FILIAL,UF_FILIAL,PRODUTO,DESCRICAO,ARMAZEM,QUANTIDADE
110102,JDI,200705503,EDUC FIN 8O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,130.0
110104,FOR,200705503,EDUC FIN 8O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,73.0
110102,JDI,200705508,"EMPREEND 9O ANO AL VOL1 EU, EMPREENDEDOR",01,791.0
110104,FOR,200705508,"EMPREEND 9O ANO AL VOL1 EU, EMPREENDEDOR",01,752.0
110102,JDI,200705509,EDUC FIN 9O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,1305.0
110104,FOR,200705509,EDUC FIN 9O ANO AL VOL1 PLANEJAMENTO FINANCEIRO,01,888.0
110102,JDI,200705514,"EMPREEND 9O ANO PROF VOL1 EU, EMPREENDEDOR",01,134.0
110104,FOR,200705514,"EMPREEND 9O ANO PROF VOL1 EU, EMPREENDEDOR",01,66.0
110102,JDI,200705515,EDUC FIN 9O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,130.0
110104,FOR,200705515,EDUC FIN 9O ANO PROF VOL1 PLANEJAMENTO FINANCEIRO,01,88.0
110102,JDI,200710273,RELIGIOSO 4O ANO PROF VOL1 PASSADO PRESENTE E FE,01,32.0
110104,FOR,200710273,RELIGIOSO 4O ANO PROF VOL1 PASSADO PRESENTE E FE,01,32.0
110102,JDI,200710275,RELIGIOSO 4O ANO AL VOL1 PASSADO PRESENTE E FE,01,69.0
110104,FOR,200710275,RELIGIOSO 4O ANO AL VOL1 PASSADO PRESENTE E FE,01,54.0
110102,JDI,200710380,RELIGIOSO 5O ANO AL VOL1 PASSADO PRESENTE E FE,01,324.0
110104,FOR,200710380,RELIGIOSO 5O ANO AL VOL1 PASSADO PRESENTE E FE,01,300.0
110102,JDI,200710381,RELIGIOSO 5O ANO PROF VOL1 PASSADO PRESENTE E FE,01,69.0
110104,FOR,200710381,RELIGIOSO 5O ANO PROF VOL1 PASSADO PRESENTE E FE,01,30.0
110102,JDI,200710583,RELIGIOSO 1O ANO AL  VOL1 PASSADO PRESENTE E FE,01,80.0
110104,FOR,200710583,RELIGIOSO 1O ANO AL  VOL1 PASSADO PRESENTE E FE,01,19.0
110102,JDI,200710584,RELIGIOSO 1O ANO PROF VOL1 PASSADO PRESENTE E FE,01,32.0
110104,FOR,200710584,RELIGIOSO 1O ANO PROF VOL1 PASSADO PRESENTE E FE,01,22.0
110102,JDI,200710714,RELIGIOSO 2O ANO AL VOL1 PASSADO PRESENTE E FE,01,39.0
110104,FOR,200710714,RELIGIOSO 2O ANO AL VOL1 PASSADO PRESENTE E FE,01,11.0
110102,JDI,200710715,RELIGIOSO 2O ANO PROF VOL1 PASSADO PRESENTE E FE,01,33.0
110104,FOR,200710715,RELIGIOSO 2O ANO PROF VOL1 PASSADO PRESENTE E FE,01,31.0
110102,JDI,200710806,RELIGIOSO 3O ANO AL VOL1 PASSADO PRESENTE E FE,01,108.0
110104,FOR,200710806,RELIGIOSO 3O ANO AL VOL1 PASSADO PRESENTE E FE,01,59.0
110102,JDI,200710807,RELIGIOSO 3O ANO PROF VOL1 PASSADO PRESENTE E FE,01,45.0
110104,FOR,200710807,RELIGIOSO 3O ANO PROF VOL1 PASSADO PRESENTE E FE,01,32.0
110102,JDI,200713563,RELIGIOSO 6O ANO AL VOL1 PASSADO PRESENTE E FE,01,280.0
110104,FOR,200713563,RELIGIOSO 6O ANO AL VOL1 PASSADO PRESENTE E FE,01,65.0
110102,JDI,200713564,RELIGIOSO 6O ANO PROF VOL1 PASSADO PRESENTE E FE,01,36.0
110104,FOR,200713564,RELIGIOSO 6O ANO PROF VOL1 PASSADO PRESENTE E FE,01,12.0
110102,JDI,200713567,RELIGIOSO 7O ANO AL VOL1 PASSADO PRESENTE E FE,01,254.0
110104,FOR,200713567,RELIGIOSO 7O ANO AL VOL1 PASSADO PRESENTE E FE,01,67.0
110102,JDI,200713568,RELIGIOSO 7O ANO PROF VOL1 PASSADO PRESENTE E FE,01,38.0
110104,FOR,200713568,RELIGIOSO 7O ANO PROF VOL1 PASSADO PRESENTE E FE,01,12.0
110102,JDI,200713571,RELIGIOSO 8O ANO AL VOL1 PASSADO PRESENTE E FE,01,231.0
110104,FOR,200713571,RELIGIOSO 8O ANO AL VOL1 PASSADO PRESENTE E FE,01,113.0
110102,JDI,200713572,RELIGIOSO 8O ANO PROF VOL1 PASSADO PRESENTE E FE,01,38.0
110104,FOR,200713572,RELIGIOSO 8O ANO PROF VOL1 PASSADO PRESENTE E FE,01,14.0
110102,JDI,200713575,RELIGIOSO 9O ANO AL VOL1 PASSADO PRESENTE E FE,01,232.0
110104,FOR,200713575,RELIGIOSO 9O ANO AL VOL1 PASSADO PRESENTE E FE,01,76.0
110102,JDI,200713576,RELIGIOSO 9O ANO PROF VOL1 PASSADO PRESENTE E FE,01,37.0
110104,FOR,200713576,RELIGIOSO 9O ANO PROF VOL1 PASSADO PRESENTE E FE,01,12.0
110102,JDI,200713728,LV ALUNO CONEXOES DE FE - 6O ANO ANUAL,01,48.0
110104,FOR,200713728,LV ALUNO CONEXOES DE FE - 6O ANO ANUAL,01,59.0
110102,JDI,200713729,LV PROF CONEXOES DE FE - 6O ANO ANUAL,01,48.0
110104,FOR,200713729,LV PROF CONEXOES DE FE - 6O ANO ANUAL,01,14.0
110102,JDI,200713730,LV ALUNO CONEXOES DE FE - 7O ANO ANUAL,01,47.0
110104,FOR,200713730,LV ALUNO CONEXOES DE FE - 7O ANO ANUAL,01,50.0
110102,JDI,200713731,LV PROF CONEXOES DE FE - 7O ANO ANUAL,01,47.0
110104,FOR,200713731,LV PROF CONEXOES DE FE - 7O ANO ANUAL,01,14.0
110102,JDI,200713732,LV ALUNO CONEXOES DE FE - 8O ANO ANUAL,01,49.0
110104,FOR,200713732,LV ALUNO CONEXOES DE FE - 8O ANO ANUAL,01,53.0
110102,JDI,200713733,LV PROF CONEXOES DE FE - 8O ANO ANUAL,01,47.0
110104,FOR,200713733,LV PROF CONEXOES DE FE - 8O ANO ANUAL,01,14.0
110102,JDI,200713734,LV ALUNO CONEXOES DE FE - 9O ANO ANUAL,01,48.0
110104,FOR,200713734,LV ALUNO CONEXOES DE FE - 9O ANO ANUAL,01,45.0
110102,JDI,200713735,LV PROF CONEXOES DE FE - 9O ANO ANUAL,01,48.0
110104,FOR,200713735,LV PROF CONEXOES DE FE - 9O ANO ANUAL,01,14.0
110102,JDI,9786553530348,LV PROF PASSADO PRESENTE FE - 5O ANO VOL 2,01,13.0
110102,JDI,9786553530379,LV ALUNO PASSADO PRESENTE FE - 5O ANO VOL 1,01,3.0
110102,JDI,9786553530393,LV ALUNO PASSADO PRESENTE FE - 5O ANO VOL 2,01,107.0
110102,JDI,9786553530409,LV PROF PASSADO PRESENTE FE - 4O ANO VOL 1,01,28.0
110102,JDI,9786553530416,LV ALUNO PASSADO PRESENTE FE - 4O ANO VOL 2,01,27.0
110102,JDI,9786553530423,LV PROF PASSADO PRESENTE FE - 4O ANO VOL 2,01,9.0
110102,JDI,9786553530430,LV ALUNO PASSADO PRESENTE FE - 3O ANO VOL 2,01,47.0
110102,JDI,9786553530447,LV PROF PASSADO PRESENTE FE - 3O ANO VOL 2,01,10.0
110102,JDI,9786553530461,LV PROF PASSADO PRESENTE FE - 2O ANO VOL 2,01,8.0
110102,JDI,9786553530485,LV PROF PASSADO PRESENTE FE - 3O ANO VOL 1,01,20.0
110102,JDI,9786553530492,LV ALUNO PASSADO PRESENTE FE - 1O ANO VOL 2,01,102.0
110102,JDI,9786553530508,LV PROF PASSADO PRESENTE FE - 1O ANO VOL 2,01,12.0
110102,JDI,9786553530515,LV ALUNO PASSADO PRESENTE FE - 2O ANO VOL 2,01,65.0
110102,JDI,9786553530522,LV PROF PASSADO PRESENTE FE - 1O ANO VOL 1,01,24.0
110102,JDI,9786553530546,LV PROF PASSADO PRESENTE FE - 2O ANO VOL 1,01,28.0
110102,JDI,9786557980019,POEMINHAS SENSACIONAIS,01,953.0
110104,FOR,9786557980019,POEMINHAS SENSACIONAIS,01,1194.0
110102,JDI,9786557980163,NAPO – UM MENINO QUE NAO EXISTE,01,963.0
110104,FOR,9786557980163,NAPO – UM MENINO QUE NAO EXISTE,01,1390.0
110102,JDI,9786557980170,EU SOU DO TIPO QUE COSTURA VERSOS COM A LINHA DO E,01,21.0
110102,JDI,9786557980187,BRINCADEIRA DE GUERRA,01,972.0
110104,FOR,9786557980187,BRINCADEIRA DE GUERRA,01,1350.0
110102,JDI,9786557980194,PENAS PRO AR,01,1128.0
110104,FOR,9786557980194,PENAS PRO AR,01,937.0
110102,JDI,9786557980200,VIAGEM AO OUTRO LADO DO MUNDO,01,1074.0
110104,FOR,9786557980200,VIAGEM AO OUTRO LADO DO MUNDO,01,1138.0
110102,JDI,9786557980217,O MENINO QUE PERDEU A SOMBRA,01,1128.0
110104,FOR,9786557980217,O MENINO QUE PERDEU A SOMBRA,01,1138.0
110102,JDI,9786557980231,SABIDO E DANADO,01,1151.0
110104,FOR,9786557980231,SABIDO E DANADO,01,1194.0
110102,JDI,9786557980255,MANIA DE BICHO,01,930.0
110104,FOR,9786557980255,MANIA DE BICHO,01,1108.0
110102,JDI,9786557980262,O ENCONTRO,01,670.0
110104,FOR,9786557980262,O ENCONTRO,01,808.0
110102,JDI,9786557980279,GATO VERMELHO GATO AZUL,01,319.0
110102,JDI,9786557980286,DO OUTRO LADO DA RUA,01,671.0
110104,FOR,9786557980286,DO OUTRO LADO DA RUA,01,808.0
110102,JDI,9786557980293,"CALMA, ESTAMOS PERDIDOS",01,1705.0
110102,JDI,9786557980316,O BALAO,01,549.0
110104,FOR,9786557980316,O BALAO,01,961.0
110102,JDI,9786557980347,TEMPO DE ROSAS,01,24.0
110102,JDI,9786557980354,NAS MAOS DE BENEDITA,01,990.0
110104,FOR,9786557980354,NAS MAOS DE BENEDITA,01,1350.0
110102,JDI,9786557980378,LABIRINTO NO ESCURO,01,963.0
110104,FOR,9786557980378,LABIRINTO NO ESCURO,01,1350.0
110102,JDI,9786557980385,SABADO NO PARQUE,01,922.0
110104,FOR,9786557980385,SABADO NO PARQUE,01,1272.0
110102,JDI,9786557980415,O MAIOR AZAR DO MUNDO,01,959.0
110104,FOR,9786557980415,O MAIOR AZAR DO MUNDO,01,1290.0
110102,JDI,9786557980422,O REI ARTHUR VAI A GUERRA,01,937.0
110104,FOR,9786557980422,O REI ARTHUR VAI A GUERRA,01,1272.0
110102,JDI,9786557980484,"A PALAVRA, O QUE E?",01,1044.0
110104,FOR,9786557980484,"A PALAVRA, O QUE E?",01,1020.0
110102,JDI,9786557980521,O MENINO E A ROLINHA,01,1442.0
110104,FOR,9786557980521,O MENINO E A ROLINHA,01,1220.0
110102,JDI,9786557980538,"MAMAE, ONDE FOI PARAR O ONTEM?",01,1224.0
110104,FOR,9786557980538,"MAMAE, ONDE FOI PARAR O ONTEM?",01,1181.0
110102,JDI,9786557980552,AS MEMORIAS DE EUGENIA,01,865.0
110104,FOR,9786557980552,AS MEMORIAS DE EUGENIA,01,1434.0
110102,JDI,9786557980569,TELEFANTE SEM FIO,01,744.0
110104,FOR,9786557980569,TELEFANTE SEM FIO,01,747.0
110102,JDI,9786557980620,QUANDO A GENTE CRESCER,01,2045.0
110102,JDI,9786557980637,AMORA,01,544.0
110104,FOR,9786557980637,AMORA,01,961.0
110102,JDI,9786557980651,VISITA A BALEIA,01,1086.0
110104,FOR,9786557980651,VISITA A BALEIA,01,1138.0
110102,JDI,9786557980675,A GUERRA DO CHICLETE,01,1025.0
110104,FOR,9786557980675,A GUERRA DO CHICLETE,01,1390.0
110102,JDI,9786557980682,O ORFANATO DO FIM DO MUNDO,01,1223.0
110104,FOR,9786557980682,O ORFANATO DO FIM DO MUNDO,01,1220.0
110102,JDI,9786557980699,UM LIVRO PRA GENTE MORAR,01,1285.0
110104,FOR,9786557980699,UM LIVRO PRA GENTE MORAR,01,1108.0
110102,JDI,9786557980729,CASA DE PASSARINHO,01,817.0
110104,FOR,9786557980729,CASA DE PASSARINHO,01,908.0
110102,JDI,9786557980774,PROJETOS E PRESEPADAS DE UM CURUMIM NA AMAZONIA,01,818.0
110104,FOR,9786557980774,PROJETOS E PRESEPADAS DE UM CURUMIM NA AMAZONIA,01,1434.0
110102,JDI,9786557980781,A ARTE MUDA DA FUGA,01,900.0
110104,FOR,9786557980781,A ARTE MUDA DA FUGA,01,1272.0
110102,JDI,9786557980798,UMA NOITE ESPETACULAR,01,2985.0
110104,FOR,9786557980798,UMA NOITE ESPETACULAR,01,666.0
110102,JDI,9786557980811,UMA HISTORIA PELO MEIO,01,22.0
110102,JDI,9786557980828,O ENIGMA DO INFINITO,01,786.0
110104,FOR,9786557980828,O ENIGMA DO INFINITO,01,1434.0
110102,JDI,9786557980873,FUI A FONTE BUSCAR AGUA,01,1429.0
110104,FOR,9786557980873,FUI A FONTE BUSCAR AGUA,01,1220.0
110102,JDI,9786557980880,PE E O VASTO MUNDO,01,1185.0
110104,FOR,9786557980880,PE E O VASTO MUNDO,01,1181.0
110102,JDI,9786557980897,A TERRA DO LA,01,1215.0
110104,FOR,9786557980897,A TERRA DO LA,01,1108.0
110102,JDI,9786557980903,"MAMAE, TEM UM URSO AI FORA",01,1172.0
110104,FOR,9786557980903,"MAMAE, TEM UM URSO AI FORA",01,1194.0
110102,JDI,9786557980927,A BOLA DO VIZINHO,01,780.0
110104,FOR,9786557980927,A BOLA DO VIZINHO,01,908.0
110102,JDI,9786557980941,UM TRONCO NO MEIO DO CAMINHO,01,1390.0
110104,FOR,9786557980941,UM TRONCO NO MEIO DO CAMINHO,01,1053.0
110102,JDI,9786557980958,A MONTANHA DO MENINO,01,1210.0
110104,FOR,9786557980958,A MONTANHA DO MENINO,01,1033.0
110102,JDI,9786557980965,A SURPRESA,01,1015.0
110104,FOR,9786557980965,A SURPRESA,01,802.0
110102,JDI,9786557980989,O GATO E A ARVORE,01,771.0
110104,FOR,9786557980989,O GATO E A ARVORE,01,908.0
110102,JDI,9786557980996,"1, 2, 3 CIRCO",01,543.0
110104,FOR,9786557980996,"1, 2, 3 CIRCO",01,961.0
110102,JDI,9786557981665,EU SOU DO TIPO QUE COSTURA VERSOS - 7O ANO,01,884.0
110104,FOR,9786557981665,EU SOU DO TIPO QUE COSTURA VERSOS - 7O ANO,01,1334.0
110102,JDI,9786557981696,EC LITERATURA  TEMPO DE ROSAS,01,987.0
110104,FOR,9786557981696,EC LITERATURA  TEMPO DE ROSAS,01,1250.0
110102,JDI,9786557981702,EC LITERATURA O HEROI,01,988.0
110104,FOR,9786557981702,EC LITERATURA O HEROI,01,1390.0
110102,JDI,9786557981726,"ROSA, MINHA IRMA ROSA – 9º ANO",01,958.0
110104,FOR,9786557981726,"ROSA, MINHA IRMA ROSA – 9º ANO",01,1172.0
110102,JDI,9786557981832,"EC LITERATURA CORRA, BERNARDO, CORRA",01,1353.0
110104,FOR,9786557981832,"EC LITERATURA CORRA, BERNARDO, CORRA",01,1181.0
110102,JDI,9786557982693,O TAMANHO DA FELICIDADE – 5O ANO,01,917.0
110104,FOR,9786557982693,O TAMANHO DA FELICIDADE – 5O ANO,01,967.0
110102,JDI,9786557982907,CURUMIM,01,657.0
110104,FOR,9786557982907,CURUMIM,01,808.0
110102,JDI,9786581061012,PASSADO PRESENTE E FE - LIVRO DIALOGOS EM,01,1241.0
110102,JDI,9786581061036,LV PROF CONEXOES DE FE - 6° ANO ANUAL,01,9.0
110102,JDI,9786581061043,LV ALUNO CONEXOES DE FE - 6° ANO ANUAL,01,6.0
110102,JDI,9786588573006,LV ALUNO CONEXOES DE FE - 7° ANO ANUAL,01,51.0
110102,JDI,9786588573013,LV PROF CONEXOES DE FE - 9° ANO ANUAL,01,12.0
110102,JDI,9786588573020,LV ALUNO CONEXOES DE FE - 8° ANO ANUAL,01,34.0
110102,JDI,9786588573037,LV ALUNO CONEXOES DE FE - 9° ANO ANUAL,01,70.0
110102,JDI,9786588573044,LV PROF CONEXOES DE FE - 7° ANO ANUAL,01,9.0
110102,JDI,9786588573051,LV PROF CONEXOES DE FE - 8° ANO ANUAL,01,10.0
110102,JDI,9788564474826,LV ALUNO PASSADO PRESENTE FE - 1º ANO EF LIVRO DID,01,152.0
110102,JDI,9788564474833,LV PROF PASSADO PRESENTE FE - 1º ANO EF LIVRO DIDA,01,42.0
110102,JDI,9788564474840,LV ALUNO PASSADO PRESENTE FE - 2º ANO EF LIVRO DID,01,127.0
110102,JDI,9788564474857,LV PROF PASSADO PRESENTE FE - 2º ANO EF LIVRO DIDA,01,42.0
110102,JDI,9788564474864,LV ALUNO PASSADO PRESENTE FE - 3º ANO EF LIVRO DID,01,167.0
110102,JDI,9788564474871,LV PROF PASSADO PRESENTE FE - 3º ANO EF LIVRO DIDA,01,42.0
110102,JDI,9788564474888,LV ALUNO PASSADO PRESENTE FE - 4º ANO EF LIVRO DID,01,156.0
110102,JDI,9788564474895,LV PROF PASSADO PRESENTE FE - 4º ANO EF LIVRO DIDA,01,40.0
110102,JDI,9788564474901,LV ALUNO PASSADO PRESENTE FE - 5º ANO EF LIVRO DID,01,164.0
110102,JDI,9788564474918,LV PROF PASSADO PRESENTE FE - 5º ANO EF LIVRO DIDA,01,52.0
110102,JDI,9788564474925,LV ALUNO PASSADO PRESENTE FE - 6º ANO EF LIVRO DID,01,13.0
110102,JDI,9788564474932,LV PROF PASSADO PRESENTE FE - 6º ANO EF LIVRO DIDA,01,31.0
110102,JDI,9788564474949,LV ALUNO PASSADO PRESENTE FE - 7º ANO EF LIVRO DID,01,103.0
110102,JDI,9788564474956,LV PROF PASSADO PRESENTE FE - 7º ANO EF LIVRO DIDA,01,40.0
110102,JDI,9788564474963,LV ALUNO PASSADO PRESENTE FE - 8º ANO EF LIVRO DID,01,22.0
110102,JDI,9788564474970,LV PROF PASSADO PRESENTE FE - 8º ANO EF LIVRO DIDA,01,32.0
110102,JDI,9788564474987,LV ALUNO PASSADO PRESENTE FE - 9º ANO EF LIVRO DID,01,76.0
110102,JDI,9788564474994,LV PROF PASSADO PRESENTE FE - 9º ANO EF LIVRO DIDA,01,43.0
110102,JDI,MCC043UC0118,PARAFUSO ESPACADOR 3X2,01,567.0
110102,JDI,MCC045UC0184,25 SAE DIA DO PROFESSOR BASE COPO PLASTICO,01,136.0
110102,JDI,MCC045UC0185,25 DB DIA DO PROFESSOR BASE COPO PLASTICO,01,891.0
110102,JDI,MCC045UC0221,FOLDERS A4 3 DOBRAS,01,3900.0
110102,JDI,MCC045UC0223,CALENDARIO DE MESA - 2025,01,3297.0
110102,JDI,MCC045UC0224,BLOCO DE ANOTACOES,01,1375.0
110102,JDI,MCC045UC0227,FLYERS A5 (IMPRESSAO PARA FRENTE E VERSO),01,4900.0
110102,JDI,MCC045UC0228,ADESIVO CAIXA 30X30,01,4900.0
110102,JDI,MCC045UC0229,ADESIVO A5,01,4900.0
110102,JDI,MCC052UC0025,PLACA PARA ESCOLAS CONVENIADAS,01,133.0
110102,JDI,MCC052UC0027,CAIXA DO KIT DE BOAS VINDAS,01,85.0
110102,JDI,MCC052UC0030,CORDAO PARA CRACHA,01,10.0
110102,JDI,MCC052UC0047,ECOBAG TNT BRANCA 30LX32A,01,80.0
110102,JDI,MCC052UC0082,FLYER CM2022,01,33811.0
110102,JDI,MCC052UC0121,FLYER INFORMATIVO 2023,01,1496.0
110102,JDI,MCC052UC0122,MOBILE DE TETO CM 2023 - AMARELO,01,12.0
110102,JDI,MCC052UC0123,MOBILE DE TETO CM 2023 - ROSA,01,445.0
110102,JDI,MCC052UC0126,ADESIVO CM 2023 - ROXO,01,443.0
110102,JDI,MCC052UC0127,ADESIVO CM 2023 - ROSA,01,798.0
110102,JDI,MCC052UC0135,CM23 DB ADESIVO PARA CAIXA,01,691.0
110102,JDI,MCC052UC0136,CM23 DB FLYER,01,11188.0
110102,JDI,MCC052UC0137,CM23 DB FLYER INFORMATIVO,01,613.0
110102,JDI,MCC052UC0139,CM23 DB MOBILE DE TETO LARANJA,01,57.0
110102,JDI,MCC052UC0140,CM23 DB MOBILE DE TETO AZUL CLARO,01,145.0
110102,JDI,MCC052UC0142,CM23 DB CANETA,01,16.0
110102,JDI,MCC052UC0143,CM23 DB CALENDARIO,01,13.0
110102,JDI,MCC052UC0144,CM23 DB CARTAZES,01,997.0
110102,JDI,MCC052UC0145,CM23 DB CARTELA DE ADESIVO TURMINHA,01,29.0
110102,JDI,MCC052UC0146,CM23 DB CARTELA DE ADESIVO FUNCIONAL,01,27.0
110102,JDI,MCC052UC0147,CM23 DB MOUSEPAD PERSONALIZADO,01,4.0
110102,JDI,MCC052UC0148,CM23 DB CORDAO DE CRACHA,01,45.0
110102,JDI,MCC052UC0150,CM23 DB ENVELOPES,01,4099.0
110102,JDI,MCC052UC0153,DB DIA DO PROFESSOR ADESIVO DE IDENTIFICACAO PARA,01,803.0
110102,JDI,MCC052UC0172,CM24 SAE MOBILE DE TETO,01,795.0
110102,JDI,MCC052UC0173,CM24 SAE FLYER,01,18789.0
110102,JDI,MCC052UC0175,CM24 SAE ADESIVOS ID CAIXA,01,44.0
110102,JDI,MCC052UC0176,CM24 SAE CALENDARIO DE MESA,01,389.0
110102,JDI,MCC052UC0177,CM24 SAE CARTAZ,01,392.0
110102,JDI,MCC052UC0178,CM24 SAE CUBO MONTAVEL,01,173.0
110102,JDI,MCC052UC0183,CM24 DB MOBILE DE TETO,01,156.0
110102,JDI,MCC052UC0184,CM24 DB FLYER,01,2069.0
110102,JDI,MCC052UC0185,CM24 DB FLYER INFORMATIVO,01,28.0
110102,JDI,MCC052UC0187,CM24 DB CALENDARIO DE MESA,01,45.0
110102,JDI,MCC052UC0188,CM24 DB CARTAZ,01,107.0
110102,JDI,MCC052UC0189,CM24 DB CUBO MONTAVEL,01,162.0
110102,JDI,MCC052UC0191,CM24 DB BOTOM,01,15.0
110102,JDI,MCC052UC0192,CM24 DB CORDAO DE CRACHA,01,17.0
110102,JDI,MCC052UC0200,23 ADESIVO CAIXA DIA DO PROFESSOR,01,150.0
110102,JDI,MCC052UC0209,BLOCO PERSONALIZADO,01,5500.0
110102,JDI,MCC052UC0224,CANETA,01,15215.0
110102,JDI,MCC052UC0226,MV25 - FOLDER,01,49.0
110102,JDI,MCC052UC0227,MV25 - BOTOM,01,10472.0
110102,JDI,MCC052UC0228,MV25 - BLOCO DE ANOTACOES COLA,01,293.0
110102,JDI,MCC052UC0233,CM25 SAE CUBO MONTAVEL,01,68.0
110102,JDI,MCC052UC0234,CM25 SAE MOBILE DE TETO,01,58.0
110102,JDI,MCC052UC0235,CM25 SAE CORDAO DE CRACHA,01,952.0
110102,JDI,MCC052UC0236,CM25 SAE BOTON,01,15.0
110102,JDI,MCC052UC0237,CM25 SAE CANETA,01,153.0
110102,JDI,MCC052UC0238,CM25 SAE REGUA,01,353.0
110102,JDI,MCC052UC0241,CM25 SAE FLYER INFORMATIVO,01,1532.0
110102,JDI,MCC052UC0243,CM25 DB MOBILE DE TETO,01,5.0
110102,JDI,MCC052UC0244,CM25 DB CORDAO DE CRACHA,01,350.0
110102,JDI,MCC052UC0246,CM25 DB CANETA,01,83.0
110102,JDI,MCC052UC0247,CM25 DB REGUA,01,50.0
110102,JDI,MCC052UC0248,CM25 DB JOGO DA MEMORIA,01,99.0
110102,JDI,MCC052UC0249,CM25 DB FLYER INSTITUCIONAL,01,379.0
110102,JDI,MCC052UC0250,CM25 DB FLYER INFORMATIVO,01,9.0
110102,JDI,MCC052UC0254,CM25 SAE ADESIVO CAIXA,01,8.0
110102,JDI,MCC052UC0257,SAE/DB ADESIVO CAIXA DIA DO PROFESSOR 2024,01,129.0
110102,JDI,MCC052UC0258,MV25 AMOSTRAS - FLYER INFORMATIVO,01,11.0
110102,JDI,MCC052UC0261,DISPLAY PERSONALIZADO PARA APOIO,01,50.0
110102,JDI,MCC052UC0262,PLANNER SAE - 2025,01,49.0
110104,FOR,MCC052UC0262,PLANNER SAE - 2025,01,4.0
110102,JDI,PG21LA436FL00,21 LV ALUNO PV SEMI EXTENSIVO 1O VOL FILOMENA,01,163.0
110102,JDI,PG21LA436SD00,21 LV ALUNO PV SEMI EXTENSIVO 1O VOL SAE,01,506.0
110104,FOR,PG21LA436SD00,21 LV ALUNO PV SEMI EXTENSIVO 1O VOL SAE,01,1372.0
110102,JDI,PG21LA437FL00,21 LV ALUNO PV SEMI EXTENSIVO 2O VOL FILOMENA,01,207.0
110102,JDI,PG21LA437SD00,21 LV ALUNO PV SEMI EXTENSIVO 2O VOL SAE,01,1563.0
110104,FOR,PG21LA437SD00,21 LV ALUNO PV SEMI EXTENSIVO 2O VOL SAE,01,177.0
110102,JDI,PG21LP436SDB0,21 LV PROF PV SEMI EXTENSIVO 1O VOL SAE BIOLOGIA,01,123.0
110104,FOR,PG21LP436SDB0,21 LV PROF PV SEMI EXTENSIVO 1O VOL SAE BIOLOGIA,01,28.0
